X;A-High;B-Low;MinL_IC;Max_L_IC;MinH_IC;MaxH_IC;Gagnon;Yelle;Perche;Labelle;Clo;Francis;Lili;Pasdefond
0;2,478759381;8,200145966;6,601311547;6,999126352;0,738002631;5,366726297;0,738002631;5,366726297;;1,331549215;;6,601311547;6,999126352;11
500;3,299767797;5,194860743;3,703703704;6,906310658;0,413777573;8,448275862;1,037249955;8,448275862;;0,413777573;3,703703704;6,906310658;4,974567868;
1000;2,53754871;6,478350543;5,095547678;7,075787648;0,927774091;5,526097763;1,158774277;5,526097763;;0,927774091;5,642066847;7,075787648;5,095547678;8,1
1500;2,493218104;9,016276065;5,92597367;14,00211149;1,194971245;4,212454212;2,072228856;4,212454212;;1,194971245;7,120743034;14,00211149;5,92597367;
2000;3,162984461;7,962985828;5,526380239;9,160305344;0,19146984;8,670252708;0,19146984;8,670252708;;0,627230836;9,160305344;8,86525773;5,526380239;8,3
2500;2,26546906;8,276479579;5,128403309;10,52995959;1,145333384;3,852327448;1,798746347;3,852327448;;1,145333384;9,171075838;10,52995959;5,128403309;
3000;3,185974632;6,640267549;5,279951172;7,004107531;0,949172531;6,414764797;2,193986569;6,414764797;;0,949172531;5,977011494;7,004107531;5,279951172;8,3
3500;2,112836961;6,994488452;6,258633009;7,550919303;0,797344877;4,662004662;0,879161345;4,662004662;;0,797344877;7,173913043;6,258633009;7,550919303;
4000;1,951700033;9,083409203;5,337078652;8,259508988;0,090909091;4,022988506;1,741202502;4,022988506;;0,090909091;5,337078652;6,237049171;8,259508988;16,5
4500;2,788686211;7,930426943;6,881500603;8,901122218;0,667283298;6,095238095;1,603537239;6,095238095;;0,667283298;8,008658009;6,881500603;8,901122218;
5000;3,365800376;7,553268875;5,752212389;8,480596194;0,244503381;8,888888889;0,964008859;8,888888889;;0,244503381;5,752212389;8,480596194;7,780266916;8,2
5500;1,906488531;7,452559767;2,685547658;11,94859078;0,579710145;4,208754209;0,579710145;4,208754209;;0,931001239;8,176100629;2,685547658;11,94859078;7
6000;0,577321067;5,939496904;2,640439064;7,099329089;0,117370892;0,872018053;0,872018053;0,742574257;;0,117370892;6,418219462;2,640439064;7,099329089;7,6
6500;0,62589739;4,357553859;1,504064718;4,149500973;0,478267994;0,714285714;0,714285714;0,685138461;;0,478267994;1,776649746;1,504064718;4,149500973;10
7000;1,198823091;1,944242988;0,801675908;3,943312785;0;4,026845638;0,438413724;0,330033003;4,026845638;0;3,943312785;0,801675908;1,33198326;1,7
7500;1,901447955;1,583300527;0,691353528;2,475247525;0,163398693;6,717959661;0,279329609;0,445103858;6,717959661;0,163398693;2,475247525;;0,691353528;
8000;3,309451333;0,62205692;0,60362173;0,64049211;0;12,25456018;0,277777778;0,705467372;12,25456018;0;0,60362173;;0,64049211;
8500;2,576133297;2,246688742;0,993377483;3,5;0;9,570476709;0,407608696;0,326447783;9,570476709;0;;;0,993377483;3,5
9000;1,130518651;;;;0;3,677084191;0;0,692551389;3,677084191;0,152439024;;;;
9500;1,404390476;;;;0;4,213171429;0;;4,213171429;0;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
