"Age","Hilltops","Lowlands","MinL","MaxL","MinH","MaxH"
0,2.478759381,8.200145966,6.601311547,6.999126352,0.738002631,5.366726297
500,3.299767797,5.194860743,3.703703704,6.906310658,0.413777573,8.448275862
1000,2.53754871,6.478350543,5.095547678,7.075787648,0.927774091,5.526097763
1500,2.493218104,9.016276065,5.92597367,14.00211149,1.194971245,4.212454212
2000,3.162984461,7.962985828,5.526380239,9.160305344,0.19146984,8.670252708
2500,2.26546906,8.276479579,5.128403309,10.52995959,1.145333384,3.852327448
3000,3.185974632,6.640267549,5.279951172,7.004107531,0.949172531,6.414764797
3500,2.112836961,6.994488452,6.258633009,7.550919303,0.797344877,4.662004662
4000,1.951700033,9.083409203,5.337078652,8.259508988,0.090909091,4.022988506
4500,2.788686211,7.930426943,6.881500603,8.901122218,0.667283298,6.095238095
5000,3.365800376,7.553268875,5.752212389,8.480596194,0.244503381,8.888888889
5500,1.906488531,7.452559767,2.685547658,11.94859078,0.579710145,4.208754209
6000,0.577321067,5.939496904,2.640439064,7.099329089,0.117370892,0.872018053
6500,0.62589739,4.357553859,1.504064718,4.149500973,0.478267994,0.714285714
7000,1.198823091,1.944242988,0.801675908,3.943312785,0,4.026845638
7500,1.901447955,1.583300527,0.691353528,2.475247525,0.163398693,6.717959661
8000,3.309451333,0.62205692,0.60362173,0.64049211,0,12.25456018
8500,2.576133297,2.246688742,0.993377483,3.5,0,9.570476709
9000,1.130518651,NA,NA,NA,0,3.677084191
9500,1.404390476,NA,NA,NA,0,4.213171429
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
