X;A-High;B-Low;MinL_IC;Max_L_IC;MinH_IC;MaxH_IC;Gagnon;Yelle;Perche;Labelle;Clo;Francis;Lili;Pasdefond
0;0,912996539;1,655422;0,642522208;2,5;0,804394118;1,020974236;1,020974236;0,913621262;;0,804394118;;1,823743792;0,642522208;2,5
500;0,268629307;0,663566808;0;1,388888889;0;0,49092107;0,49092107;0;;0,314966851;1,388888889;0,601811536;0;
1000;0,621391634;0,423464294;0,194628282;0,938132288;0,369028;0,966149388;0,966149388;0,528997514;;0,369028;0,261096606;0,938132288;0,194628282;0,3
1500;0,498933315;0,766328056;0,154798762;1,536763673;0,287356322;0,915750916;0,287356322;0,915750916;;0,293692707;0,154798762;1,536763673;0,607421734;
2000;0,428340616;1,060645767;0,445088395;2,1;0,290089169;0,5479945;0,290089169;0,5479945;;0,44693818;0,572519084;1,124975589;0,445088395;2,1
2500;0,397459054;0,614396915;0,352733686;1,021124167;0,321027287;0,477399296;0,477399296;0,321027287;;0,393950579;0,352733686;1,021124167;0,469332891;
3000;0,539484593;0,932137138;0;2,151089722;0,142450142;0,998172854;0,142450142;0,998172854;;0,477830783;0;2,151089722;0,47745883;1,1
3500;0,983424156;1,766052985;0,83900583;2,608695652;0,392374094;2,097902098;0,392374094;2,097902098;;0,459996277;2,608695652;1,850457472;0,83900583;
4000;1,224742337;2,331923372;0,795252971;3,8;0,73287341;1,600357432;1,600357432;1,340996169;;0,73287341;2,387640449;2,344800067;0,795252971;3,8
4500;1,05437057;1,496848912;0,432900433;2,349112694;0,826841739;1,333333333;1,002936638;1,333333333;;0,826841739;0,432900433;2,349112694;1,708533609;
5000;1,438874118;1,353050837;0,442477876;2,695368432;0,697025648;2,469135802;1,150460905;2,469135802;;0,697025648;0,442477876;2,695368432;1,774357039;0,5
5500;1,012002311;3,144495581;1,769953421;5,8;0,725480283;1,178451178;0,725480283;1,178451178;;1,132075472;2,830188679;2,177840223;1,769953421;5,8
6000;1,318919126;5,099654636;3,726708075;8,334223816;0;2,97029703;0,986460348;2,97029703;;0;3,726708075;8,334223816;3,837686653;4,5
6500;2,346140341;6,439966025;2,030456853;10,7;0,730686232;5,016820858;0,730686232;5,016820858;;1,290913932;2,030456853;9,786206546;3,2432007;10,7
7000;2,656105161;5,885159216;3,348334752;7,459640328;0,33557047;5,775577558;3,091033788;5,775577558;0,33557047;1,422238827;5,532661783;7,459640328;3,348334752;7,2
7500;4,154522957;7,18139566;3,966751719;10,3960396;0,516693169;8,902077151;6,145251397;8,902077151;0,516693169;1,054070113;10,3960396;;3,966751719;
8000;5,77597956;7,704700503;5,349038836;10,06036217;0,317322123;11,11111111;4,444444444;7,231040564;0,317322123;11,11111111;10,06036217;;5,349038836;
8500;2,497683179;8,989072848;8,278145695;9,7;0,221483942;5,281690141;3,049881781;1,437676851;0,221483942;5,281690141;;;8,278145695;9,7
9000;1,342143318;;;;0,111111111;2,128603104;1,98019802;1,148661035;0,111111111;2,128603104;;;;
9500;2,096627245;;;;0,334448161;4,332056952;1,623376623;;0,334448161;4,332056952;;;;
