Cal_BP;Influx
-72;0,0039
-57;0,0059
-42;0,0000
-27;0,0000
-12;0,0000
3;0,0000
18;0,0000
33;0,0000
48;0,0064
63;0,0316
78;0,0380
93;0,4024
108;0,0507
123;0,0156
138;0,0077
153;0,0117
168;0,0255
183;0,0066
198;0,0146
213;0,0111
228;0,0314
243;0,0430
258;0,0284
273;0,0131
288;0,0154
303;0,0132
318;0,0856
333;0,0073
348;0,0125
363;0,0131
378;0,0050
393;0,0171
408;0,0130
423;0,0324
438;0,0588
453;0,0477
468;0,0268
483;0,0466
498;0,0879
513;0,0970
528;0,0122
543;0,0105
558;0,0279
573;0,0317
588;0,0270
603;0,0336
618;0,0136
633;0,0023
648;0,0075
663;0,0055
678;0,0201
693;0,0124
708;0,0124
723;0,0061
738;0,0138
753;0,0116
768;0,0000
783;0,0068
798;0,0087
813;0,0119
828;0,0048
843;0,0050
858;0,0000
873;0,0000
888;0,0035
903;0,0083
918;0,0120
933;0,0071
948;0,0039
963;0,0031
978;0,0309
993;0,0179
1008;0,0312
1023;0,0199
1038;0,0088
1053;0,0030
1068;0,0034
1083;0,0030
1098;0,0566
1113;0,0033
1128;0,0225
1143;0,0115
1158;0,0122
1173;0,0353
1188;0,0242
1203;0,0410
1218;0,0242
1233;0,0323
1248;0,0441
1263;0,0172
1278;0,0460
1293;0,0436
1308;0,0918
1323;0,0464
1338;0,0768
1353;0,1276
1368;0,0620
1383;0,0670
1398;0,0333
1413;0,1664
1428;0,0731
1443;0,0738
1458;0,0772
1473;0,0550
1488;0,0337
1503;0,0752
1518;0,0071
1533;0,0285
1548;0,1372
1563;0,1022
1578;0,0497
1593;0,0137
1608;0,0807
1623;0,0509
1638;0,1339
1653;0,1387
1668;0,0299
1683;0,0827
1698;0,1755
1713;0,0568
1728;0,0815
1743;0,1650
1758;0,0219
1773;0,1235
1788;0,0119
1803;0,0220
1818;0,0237
1833;0,0067
1848;0,0034
1863;0,0168
1878;0,0201
1893;0,0454
1908;0,0095
1923;0,0110
1938;0,0075
1953;0,0069
1968;0,0257
1983;0,0083
1998;0,0195
2013;0,0321
2028;0,0550
2043;0,0372
2058;0,0168
2073;0,0221
2088;0,0304
2103;0,0233
2118;0,1722
2133;0,0466
2148;0,0251
2163;0,0152
2178;0,0035
2193;0,0035
2208;0,0042
2223;0,0027
2238;0,0120
2253;0,0268
2268;0,0382
2283;0,0622
2298;0,0151
2313;0,1298
2328;0,0242
2343;0,0099
2358;0,0381
2373;0,0596
2388;0,0093
2403;0,0074
2418;0,0084
2433;0,0098
2448;0,0114
2463;0,0379
2478;0,0124
2493;0,0080
2508;0,0058
2523;0,0041
2538;0,0282
2553;0,0267
2568;0,0501
2583;0,0347
2598;0,0312
2613;0,0297
2628;0,0289
2643;0,0271
2658;0,0247
2673;0,0125
2688;0,0083
2703;0,0036
2718;0,0030
2733;0,0012
2748;0,0052
2763;0,0082
2778;0,0057
2793;0,0048
2808;0,0089
2823;0,0100
2838;0,0536
2853;0,0278
2868;0,0079
2883;0,0071
2898;0,0107
2913;0,0104
2928;0,0088
2943;0,0136
2958;0,0187
2973;0,0470
2988;0,0505
3003;0,0648
3018;0,1515
3033;0,0106
3048;0,0124
3063;0,0100
3078;0,0042
3093;0,0114
3108;0,0034
3123;0,0179
3138;0,0183
3153;0,0172
3168;0,0041
3183;0,0097
3198;0,0126
3213;0,0083
3228;0,0610
3243;0,0190
3258;0,0848
3273;0,0416
3288;0,0104
3303;0,0080
3318;0,0113
3333;0,0292
3348;0,0352
3363;0,0131
3378;0,0065
3393;0,0031
3408;0,0043
3423;0,0034
3438;0,0050
3453;0,0321
3468;0,0491
3483;0,0099
3498;0,0035
3513;0,0020
3528;0,0056
3543;0,0084
3558;0,0105
3573;0,0176
3588;0,0524
3603;0,0751
3618;0,0659
3633;0,0389
3648;0,1548
3663;0,0674
3678;0,0034
3693;0,1233
3708;0,0091
3723;0,0246
3738;0,0129
3753;0,1008
3768;0,0382
3783;0,0258
3798;0,0451
3813;0,0137
3828;0,0494
3843;0,0285
3858;0,0177
3873;0,0179
3888;0,0345
3903;0,0356
3918;0,0128
3933;0,0407
3948;0,0582
3963;0,0581
3978;0,0135
3993;0,0102
4008;0,0192
4023;0,0326
4038;0,0271
4053;0,0160
4068;0,0047
4083;0,0079
4098;0,0216
4113;0,0539
4128;0,0396
4143;0,3113
4158;0,0128
4173;0,0025
4188;0,0046
4203;0,0278
4218;0,0257
4233;0,0073
4248;0,0127
4263;0,0100
4278;0,0257
4293;0,0177
4308;0,0258
4323;0,0472
4338;0,0129
4353;0,0089
4368;0,0428
4383;0,0566
4398;0,0445
4413;0,0438
4428;0,0133
4443;0,0208
4458;0,0175
4473;0,0744
4488;0,0882
4503;0,0431
4518;0,0798
4533;0,0637
4548;0,0393
4563;0,0155
4578;0,0140
4593;0,0119
4608;0,0196
4623;0,0861
4638;0,0712
4653;0,0021
4668;0,0207
4683;0,0114
4698;0,0076
4713;0,0032
4728;0,0047
4743;0,0059
4758;0,0169
4773;0,0219
4788;0,0055
4803;0,0063
4818;0,0049
4833;0,0023
4848;0,0035
4863;0,0046
4878;0,0107
4893;0,0137
4908;0,0155
4923;0,0322
4938;0,0165
4953;0,0212
4968;0,0193
4983;0,0215
4998;0,0685
5013;0,0371
5028;0,0087
5043;0,0089
5058;0,0112
5073;0,0070
5088;0,0078
5103;0,0257
5118;0,0368
5133;0,0314
5148;0,1662
5163;0,0583
5178;0,0096
5193;0,0094
5208;0,0148
5223;0,1200
5238;0,0952
5253;0,0181
5268;0,0160
5283;0,0119
5298;0,0215
5313;0,0449
5328;0,0343
5343;0,0341
5358;0,0191
5373;0,0785
5388;0,0990
5403;0,0329
5418;0,0772
5433;0,0204
5448;0,1691
5463;0,0322
5478;0,0443
5493;0,0230
5508;0,0183
5523;0,0134
5538;0,0097
5553;0,0025
5568;0,0028
5583;0,0038
5598;0,0038
5613;0,0024
5628;0,0022
5643;0,0025
5658;0,0025
5673;0,0032
5688;0,0033
5703;0,0142
5718;0,0220
5733;0,0400
5748;0,0299
5763;0,0030
5778;0,0035
5793;0,0057
5808;0,0159
5823;0,0232
5838;0,0239
5853;0,0481
5868;0,0505
5883;0,0258
5898;0,0330
5913;0,0113
5928;0,0040
5943;0,0040
5958;0,0220
5973;0,0173
5988;0,0121
6003;0,0174
6018;0,0560
6033;0,0181
6048;0,0133
6063;0,0066
6078;0,0063
6093;0,0090
6108;0,0122
6123;0,0181
6138;0,0155
6153;0,0564
6168;0,0560
6183;0,0300
6198;0,0161
6213;0,0182
6228;0,0198
6243;0,0606
6258;0,0192
6273;0,0222
6288;0,0076
6303;0,0297
6318;0,0221
6333;0,0189
6348;0,0086
6363;0,0330
6378;0,0127
6393;0,0062
6408;0,0089
6423;0,0075
6438;0,0242
6453;0,0055
6468;0,0056
6483;0,0115
6498;0,0056
6513;0,0257
6528;0,0082
6543;0,0453
6558;0,0198
6573;0,0097
6588;0,0151
6603;0,1047
6618;0,0317
6633;0,0482
6648;0,0262
6663;0,0076
6678;0,0081
6693;0,0218
6708;0,0109
6723;0,0536
6738;0,0350
6753;0,0407
6768;0,0285
6783;0,0305
6798;0,0094
6813;0,0072
6828;0,0152
6843;0,0000
6858;0,0390
6873;0,0606
6888;0,0786
6903;0,0777
6918;0,0169
6933;0,0091
6948;0,0031
6963;0,0157
6978;0,0204
6993;0,3744
7008;0,3245
7023;0,0110
7038;0,0161
7053;0,0384
7068;0,0625
7083;0,0636
7098;0,0506
7113;0,0330
7128;0,0029
7143;0,1231
7158;0,0464
7173;0,0624
7188;0,0771
7203;0,0012
7218;0,0597
7233;0,0294
7248;0,0338
7263;0,0623
7278;0,0161
7293;0,0564
7308;0,0447
7323;0,0131
7338;0,0041
7353;0,0206
7368;0,0315
7383;0,0061
7398;0,0049
7413;0,0254
7428;0,0147
7443;0,0103
7458;0,0212
7473;0,0295
7488;0,0406
7503;0,0513
7518;0,0469
7533;0,0302
7548;0,0181
7563;0,0432
7578;0,0633
7593;0,0113
7608;0,0000
7623;0,0384
7638;0,0047
7653;0,0134
7668;0,0358
7683;0,0167
7698;0,0050
7713;0,0175
7728;0,0552
7743;0,0068
7758;0,0136
7773;0,0139
7788;0,0131
7803;0,0174
7818;0,0875
7833;0,0285
7848;0,0466
7863;0,0124
7878;0,0116
7893;0,0040
7908;0,0055
7923;0,0145
7938;0,0307
7953;0,0066
7968;0,0070
7983;0,0072
7998;0,0278
8013;0,0182
8028;0,0207
8043;0,0367
8058;0,0277
8073;0,0127
8088;0,0274
8103;0,0092
8118;0,0025
8133;0,0022
8148;0,0010
8163;0,0000
8178;0,0000
8193;0,0005
8208;0,0017
8223;0,0046
8238;0,0034
8253;0,0004
8268;0,0009
8283;0,0065
8298;0,0085
8313;0,0235
8328;0,0532
8343;0,0097
8358;0,0100
8373;0,0129
8388;0,0068
8403;0,0061
8418;0,0075
8433;0,0170
8448;0,0293
8463;0,0307
8478;0,0250
8493;0,0196
8508;0,0268
8523;0,0916
8538;0,0968
8553;0,0840
8568;0,0831
8583;0,0483
8598;0,0375
8613;0,0212
8628;0,0209
8643;0,0134
8658;0,0237
8673;0,0390
8688;0,0353
8703;0,0313
8718;0,0168
8733;0,0285
8748;0,0096
8763;0,0191
8778;0,0876
8793;0,1192
8808;0,0619
8823;0,0223
8838;0,0068
8853;0,0269
8868;0,0442
8883;0,0379
8898;0,0210
8913;0,0290
8928;0,0128
8943;0,0253
8958;0,0111
8973;0,0116
8988;0,0180
9003;0,0287
9018;0,0129
9033;0,0325
9048;0,0072
9063;0,0139
9078;0,0143
9093;0,0029
9108;0,0018
9123;0,0013
9138;0,0029
9153;0,0037
9168;0,0040
9183;0,0062
9198;0,0104
9213;0,0150
9228;0,0145
9243;0,0021
9258;0,0176
9273;0,0109
9288;0,0031
9303;0,0107
9318;0,0115
9333;0,0193
9348;0,0091
9363;0,0229
9378;0,0029
9393;0,0030
9408;0,0094
9423;0,0062
9438;0,0067
9453;0,0045
9468;0,0036
9483;0,0052
9498;0,0000
9513;0,0009
9528;0,0008
9543;0,0112
9558;0,0012
9573;0,0025
9588;0,0002
9603;0,0018
9618;0,0051
9633;0,0098
9648;0,0000
9663;0,0000
9678;0,0000
9693;0,0000
9708;0,0000
9723;0,0000
9738;0,0000
9753;0,0000
9768;0,0000
9783;0,0000
9798;0,0000
9813;0,0000
9828;0,0000
9843;0,0000
9858;0,0000
9873;0,0000
9888;0,0000
9903;0,0000
9918;0,0000
9933;0,0000
9948;0,0000
9963;0,0000
9978;0,0000
9993;0,0000
