Cal_BP;Influx
-74;0,1318
-45;0,0770
-16;0,0804
13;0,0128
42;0,0154
71;0,0369
100;0,0098
129;0,0078
158;0,0024
187;0,0035
216;0,0030
245;0,0029
274;0,0053
303;0,0059
332;0,0034
361;0,0021
390;0,0079
419;0,0039
448;0,0017
477;0,0018
506;0,0020
535;0,0018
564;0,0017
593;0,0067
622;0,0104
651;0,0082
680;0,0046
709;0,0045
738;0,0042
767;0,0031
796;0,0026
825;0,0045
854;0,0067
883;0,0085
912;0,0089
941;0,0081
970;0,0093
999;0,0068
1028;0,0066
1057;0,0036
1086;0,0044
1115;0,0013
1144;0,0026
1173;0,0052
1202;0,0053
1231;0,0045
1260;0,0065
1289;0,0069
1318;0,0030
1347;0,0040
1376;0,0044
1405;0,0083
1434;0,0044
1463;0,0035
1492;0,0043
1521;0,0044
1550;0,0049
1579;0,0090
1608;0,0093
1637;0,0093
1666;0,0101
1695;0,0209
1724;0,0234
1753;0,0089
1782;0,0086
1811;0,0081
1840;0,0102
1869;0,0176
1898;0,0268
1927;0,0465
1956;0,0195
1985;0,0086
2014;0,0042
2043;0,0042
2072;0,0047
2101;0,0052
2130;0,0052
2159;0,0040
2188;0,0006
2217;0,0006
2246;0,0016
2275;0,0020
2304;0,0015
2333;0,0004
2362;0,0004
2391;0,0035
2420;0,0045
2449;0,0103
2478;0,0103
2507;0,0080
2536;0,0080
2565;0,0026
2594;0,0026
2623;0,0122
2652;0,0129
2681;0,0028
2710;0,0003
2739;0,0007
2768;0,0007
2797;0,0007
2826;0,0003
2855;0,0000
2884;0,0002
2913;0,0004
2942;0,0005
2971;0,0005
3000;0,0005
3029;0,0015
3058;0,0022
3087;0,0022
3116;0,0010
3145;0,0004
3174;0,0004
3203;0,0019
3232;0,0022
3261;0,0020
3290;0,0000
3319;0,0000
3348;0,0024
3377;0,0131
3406;0,0202
3435;0,0172
3464;0,0034
3493;0,0025
3522;0,0017
3551;0,0024
3580;0,0016
3609;0,0004
3638;0,0004
3667;0,0052
3696;0,0052
3725;0,0021
3754;0,0006
3783;0,0005
3812;0,0004
3841;0,0012
3870;0,0020
3899;0,0021
3928;0,0022
3957;0,0050
3986;0,0071
4015;0,0071
4044;0,0027
4073;0,0008
4102;0,0010
4131;0,0015
4160;0,0015
4189;0,0029
4218;0,0034
4247;0,0043
4276;0,0050
4305;0,0048
4334;0,0046
4363;0,0058
4392;0,0064
4421;0,0036
4450;0,0023
4479;0,0025
4508;0,0025
4537;0,0030
4566;0,0027
4595;0,0007
4624;0,0007
4653;0,0008
4682;0,0016
4711;0,0023
4740;0,0028
4769;0,0032
4798;0,0051
4827;0,0089
4856;0,0057
4885;0,0058
4914;0,0055
4943;0,0094
4972;0,0091
5001;0,0287
5030;0,0176
5059;0,0190
5088;0,0274
5117;0,0997
5146;0,1208
5175;0,0195
5204;0,0220
5233;0,0080
5262;0,0099
5291;0,0139
5320;0,0059
5349;0,0051
5378;0,0074
5407;0,0110
5436;0,0073
5465;0,0267
5494;0,0101
5523;0,0160
5552;0,0223
5581;0,0513
5610;0,0215
5639;0,0139
5668;0,0148
5697;0,0204
5726;0,0282
5755;0,0139
5784;0,0078
5813;0,0162
5842;0,0252
5871;0,0113
5900;0,0175
5929;0,0132
5958;0,0059
5987;0,0051
6016;0,0294
6045;0,0234
6074;0,0266
6103;0,0196
6132;0,0356
6161;0,0290
6190;0,0084
6219;0,0082
6248;0,0085
6277;0,0071
6306;0,0000
6335;0,0004
6364;0,0037
6393;0,0164
6422;0,0371
6451;0,0444
6480;0,0279
6509;0,0255
6538;0,0107
6567;0,0096
6596;0,0189
6625;0,0081
6654;0,0084
6683;0,0295
6712;0,0729
6741;0,1037
6770;0,0528
6799;0,0132
6828;0,0060
6857;0,0086
6886;0,0102
6915;0,0039
6944;0,0145
6973;0,0183
7002;0,0100
7031;0,0070
7060;0,0382
7089;0,0313
7118;0,0063
7147;0,0056
7176;0,0053
7205;0,0042
7234;0,0152
7263;0,0142
7292;0,0020
7321;0,0099
7350;0,0087
7379;0,0051
7408;0,0117
7437;0,0151
7466;0,0075
7495;0,0063
7524;0,0073
7553;0,0066
7582;0,0057
7611;0,0036
7640;0,0034
7669;0,0060
7698;0,0059
7727;0,0044
7756;0,0037
7785;0,0026
7814;0,0197
7843;0,0308
7872;0,0208
7901;0,0186
7930;0,0126
7959;0,0060
7988;0,0016
8017;0,0060
8046;0,0074
8075;0,0110
8104;0,0049
8133;0,0021
8162;0,0075
8191;0,0084
8220;0,0096
8249;0,0093
8278;0,0081
8307;0,0113
8336;0,0179
8365;0,0068
8394;0,0012
8423;0,0018
8452;0,0013
8481;0,0000
