Age_Cal_BP;Influx
6600;0
6620;0
6640;0,004545851
6660;0,022448649
6680;0,069824992
6700;0,079870037
6720;0,019014722
6740;0,00680565
6760;0,007622489
6780;0,048832542
6800;0,15733395
6820;0,149880654
6840;0,057708669
6860;0,023757592
6880;0,011339746
6900;0,015333766
6920;0,004782313
6940;0,023673714
6960;0,052516462
6980;0,02581605
7000;0,042852917
7020;0,029323611
7040;0,071862912
7060;0,081110453
7080;0,018944781
7100;0,009313125
7120;0,008006371
7140;0,003955795
7160;0,004542972
7180;0,00695594
7200;0,005420434
7220;0,009586098
7240;0,009554212
7260;0,016367368
7280;0,012937549
7300;0,017308111
7320;0,033362841
7340;0,02114125
7360;0,047661364
7380;0,030034545
7400;0,02259683
7420;0,016911949
7440;0,008830282
7460;0,004361516
7480;0,008465752
7500;0,021039
7520;0,021352375
7540;0,017527541
7560;0,008447649
7580;0,013860517
7600;0,009462176
7620;0,011015089
7640;0,018726994
7660;0,02082881
7680;0,035121697
7700;0,030925705
7720;0,01114979
7740;0,011385803
7760;0,002910289
7780;0,005372778
7800;0,010619358
7820;0,018352971
7840;0,01830266
7860;0,027700538
7880;0,005649361
7900;0,034115464
7920;0,081496662
7940;0,026601591
7960;0,010387344
7980;0,014075084
8000;0,054673923
8020;0,110075436
8040;0,147901494
8060;0,239928435
8080;0,067818462
8100;0,1307355
8120;0,15584
8140;0,049732923
8160;0,028859231
8180;0,044388126
8200;0,030056044
8220;0,031428923
8240;0,054391277
8260;0,022293069
8280;0,015448649
8300;0,007760078
8320;0,007446979
8340;0,009062121
8360;0,013566958
8380;0,020921667
8400;0,020720667
8420;0,013741966
8440;0,002937931
8460;0,005200825
8480;0,008339047
8500;0,014323333
8520;0,002573205
8540;0,002326935
8560;0,006435484
8580;0,001921812
8600;0,001002083
8620;0,001002083
8640;0,000902413
8660;0,000345205
8680;0,000345205
8700;0,000345205
8720;0,000648091
8740;0,000942667
8760;0,000942667
8780;0,000942667
8800;0,000216729
8820;0
8840;0
8860;0
8880;0,000768281
8900;0,001451299
8920;0,001451299
8940;0,001451299
8960;0,001137363
8980;0,001004487
9000;0,001004487
9020;0,001004487
9040;0,000598838
9060;0,000488194
9080;0,000488194
9100;0,000392787
9120;0
9140;0
9160;0
9180;0,002340186
9200;0,003300685
9220;0,003300685
9240;0,003140067
9260;0
9280;0
9300;0
9320;0,001068486
9340;0,00255
9360;0,00228181
9380;7,74E-05
9400;7,74E-05
9420;4,25E-05
9440;0
9460;0
9480;0,000577275
9500;0,000732653
9520;0,000466608
9540;0
9560;0
9580;0
9600;0
9620;0,000169151
9640;0,000832692
9660;0,000832692
9680;0,000341071
9700;0
9720;0
9740;0
9760;0
9780;0,001213055
9800;0,003593269
9820;0,003593269
9840;0,002346968
9860;0,002012963
9880;0,003080421
9900;0,001482
9920;0,00212264
9940;0
9960;0
9980;0
10000;0
