Cal_BP;Influx
-72;0,0010
-45;0,0063
-18;0,0109
9;0,0056
36;0,0115
63;0,0291
90;0,0805
117;0,5287
144;0,0261
171;0,0361
198;0,0488
225;0,0611
252;0,0214
279;0,0339
306;0,0547
333;0,0553
360;0,0410
387;0,0108
414;0,0056
441;0,0171
468;0,0189
495;0,0346
522;0,0112
549;0,0140
576;0,0171
603;0,0478
630;0,0234
657;0,0220
684;0,0566
711;0,0261
738;0,0014
765;0,0022
792;0,0035
819;0,0047
846;0,0119
873;0,0144
900;0,0065
927;0,0077
954;0,0067
981;0,0075
1008;0,0170
1035;0,0513
1062;0,0457
1089;0,0237
1116;0,0098
1143;0,0088
1170;0,0092
1197;0,0237
1224;0,0087
1251;0,0082
1278;0,0089
1305;0,0134
1332;0,0569
1359;0,0081
1386;0,0457
1413;0,0041
1440;0,0061
1467;0,0031
1494;0,0208
1521;0,0184
1548;0,0191
1575;0,0285
1602;0,0389
1629;0,0139
1656;0,0106
1683;0,0085
1710;0,0101
1737;0,0119
1764;0,0072
1791;0,0170
1818;0,0533
1845;0,0696
1872;0,1080
1899;0,0173
1926;0,0693
1953;0,0358
1980;0,0423
2007;0,0117
2034;0,0199
2061;0,0351
2088;0,0594
2115;0,0240
2142;0,0400
2169;0,0219
2196;0,0054
2223;0,0273
2250;0,0206
2277;0,0603
2304;0,0352
2331;0,0561
2358;0,0718
2385;0,0269
2412;0,0267
2439;0,0405
2466;0,0929
2493;0,0510
2520;0,0472
2547;0,0453
2574;0,0113
2601;0,0460
2628;0,0057
2655;0,0151
2682;0,0967
2709;0,0411
2736;0,0249
2763;0,0469
2790;0,0337
2817;0,0734
2844;0,0596
2871;0,0204
2898;0,0346
2925;0,1007
2952;0,0529
2979;0,0531
3006;0,0620
3033;0,0128
3060;0,0687
3087;0,0073
3114;0,0212
3141;0,0097
3168;0,0113
3195;0,0388
3222;0,0120
3249;0,0215
3276;0,0539
3303;0,0344
3330;0,0203
3357;0,0176
3384;0,1049
3411;0,0288
3438;0,0113
3465;0,0025
3492;0,0035
3519;0,0101
3546;0,0313
3573;0,0404
3600;0,0876
3627;0,0575
3654;0,0192
3681;0,0427
