Cal_BP;Influx
-47;0,0052
-23;0,0094
1;0,0135
25;0,1389
49;0,1359
73;0,0119
97;0,0102
121;0,1492
145;0,0262
169;0,0178
193;0,0192
217;0,0170
241;0,0050
265;0,0026
289;0,0146
313;0,0236
337;0,0307
361;0,0375
385;0,0121
409;0,0168
433;0,0204
457;0,0029
481;0,0020
505;0,0041
529;0,0118
553;0,0046
577;0,0031
601;0,0047
625;0,0125
649;0,0090
673;0,0093
697;0,0114
721;0,0252
745;0,0185
769;0,0103
793;0,0143
817;0,0062
841;0,0051
865;0,0125
889;0,0096
913;0,0110
937;0,0102
961;0,0029
985;0,0277
1009;0,0289
1033;0,0054
1057;0,0075
1081;0,0100
1105;0,0147
1129;0,0147
1153;0,0112
1177;0,0056
1201;0,0331
1225;0,0307
1249;0,0158
1273;0,0086
1297;0,0087
1321;0,0071
1345;0,0125
1369;0,0240
1393;0,0059
1417;0,0043
1441;0,0025
1465;0,0018
1489;0,0033
1513;0,0247
1537;0,0378
1561;0,0100
1585;0,0032
1609;0,0031
1633;0,0032
1657;0,0251
1681;0,0704
1705;0,0667
1729;0,0017
1753;0,0009
1777;0,0025
1801;0,0049
1825;0,0061
1849;0,0033
1873;0,0037
1897;0,0241
1921;0,0106
1945;0,0145
1969;0,0326
1993;0,0290
2017;0,0071
2041;0,0034
2065;0,0033
2089;0,0032
2113;0,0025
2137;0,0022
2161;0,0031
2185;0,0460
2209;0,0594
2233;0,0061
2257;0,0033
2281;0,0032
2305;0,0032
2329;0,0030
2353;0,0029
2377;0,0019
2401;0,0009
2425;0,0034
2449;0,0032
2473;0,0094
2497;0,0196
2521;0,0414
2545;0,0189
2569;0,0062
2593;0,0077
2617;0,0123
2641;0,0112
2665;0,0034
2689;0,0024
2713;0,0032
2737;0,0031
2761;0,0045
2785;0,0097
2809;0,0103
2833;0,0046
2857;0,0043
2881;0,0061
2905;0,0034
2929;0,0033
2953;0,0028
2977;0,0038
3001;0,0063
3025;0,0031
3049;0,0019
3073;0,0034
3097;0,0206
3121;0,0513
3145;0,0036
3169;0,0034
3193;0,0148
3217;0,0091
3241;0,0026
3265;0,0028
3289;0,0063
3313;0,0034
3337;0,0067
3361;0,0078
3385;0,0030
3409;0,0088
3433;0,0055
3457;0,0027
3481;0,0036
3505;0,0043
3529;0,0097
3553;0,0069
3577;0,0063
3601;0,0059
3625;0,0032
3649;0,0035
3673;0,0055
3697;0,0051
3721;0,0029
3745;0,0013
3769;0,0016
3793;0,0029
3817;0,0016
3841;0,0200
3865;0,0377
3889;0,0737
3913;0,0260
3937;0,0016
3961;0,0024
3985;0,0024
4009;0,0048
4033;0,0091
4057;0,0113
4081;0,0075
4105;0,0031
4129;0,0031
4153;0,0027
4177;0,0138
4201;0,0294
4225;0,0021
4249;0,0020
4273;0,0022
4297;0,0029
4321;0,0017
4345;0,0018
4369;0,0030
4393;0,0534
4417;0,0314
4441;0,0061
4465;0,0400
4489;0,0181
4513;0,0031
4537;0,0029
4561;0,0150
4585;0,0128
4609;0,0059
4633;0,0030
4657;0,0024
4681;0,0020
4705;0,0019
4729;0,0021
4753;0,0040
4777;0,0108
4801;0,0051
4825;0,0024
4849;0,0028
4873;0,0062
4897;0,0082
4921;0,0031
4945;0,0022
4969;0,0022
4993;0,0022
5017;0,0027
5041;0,0031
5065;0,0035
5089;0,0034
5113;0,0013
5137;0,0066
5161;0,0064
5185;0,0006
5209;0,0005
5233;0,0027
5257;0,0080
5281;0,0082
5305;0,0089
5329;0,0135
5353;0,0034
5377;0,0216
5401;0,0036
5425;0,0056
5449;0,0056
5473;0,0054
5497;0,0071
5521;0,0051
5545;0,0024
5569;0,0221
5593;0,0194
5617;0,0140
5641;0,0101
5665;0,0049
5689;0,0047
5713;0,0112
5737;0,0100
5761;0,0052
5785;0,0054
5809;0,0067
5833;0,0058
5857;0,0101
5881;0,0062
5905;0,0060
5929;0,0028
5953;0,0075
5977;0,0126
6001;0,0034
6025;0,0056
6049;0,0044
6073;0,0045
6097;0,0163
6121;0,0181
6145;0,0587
6169;0,0135
6193;0,0102
6217;0,0061
6241;0,0049
6265;0,0125
6289;0,0069
6313;0,0351
6337;0,0271
6361;0,0045
6385;0,0038
6409;0,0027
6433;0,0559
6457;0,0040
6481;0,0063
6505;0,0233
6529;0,0074
6553;0,0099
6577;0,0044
6601;0,0058
6625;0,0093
6649;0,0091
6673;0,0054
6697;0,0129
6721;0,0015
6745;0,0012
6769;0,0034
6793;0,0054
6817;0,0053
6841;0,0054
6865;0,0017
6889;0,0013
6913;0,0005
6937;0,0065
6961;0,0125
6985;0,0064
7009;0,0026
7033;0,0025
7057;0,0006
7081;0,0003
7105;0,0003
7129;0,0044
7153;0,0047
7177;0,0044
7201;0,0040
7225;0,0019
7249;0,0023
7273;0,0027
7297;0,0023
7321;0,0047
7345;0,0019
7369;0,0039
7393;0,0009
7417;0,0004
7441;0,0025
7465;0,0014
7489;0,0023
7513;0,0006
7537;0,0006
7561;0,0014
7585;0,0036
7609;0,0030
7633;0,0080
7657;0,0035
7681;0,0021
7705;0,0000
7729;0,0000
