Cal_BP;Influx
6500;0,0146886
6514;0,023793103
6528;0,024865588
6542;0,0252
6556;0,060671429
6570;0,057628571
6584;0,023
6598;0,020429749
6612;0,015961538
6626;0,021858974
6640;0,023816487
6654;0,009130435
6668;0,014720497
6682;0,018913043
6696;0,008281573
6710;0,006516458
6724;0,005434783
6738;0,035526287
6752;0,041629464
6766;0,033125
6780;0,038461538
6794;0,043269231
6808;0,059792779
6822;0,067333333
6836;0,041694444
6850;0,012962963
6864;0,019844758
6878;0,025192308
6892;0,021798796
6906;0,0205
6920;0,019128571
6934;0,0176
6948;0,013307568
6962;0,012497449
6976;0,016333333
6990;0,016333333
7004;0,01416783
7018;0,012324289
7032;0,011304348
7046;0,035975589
7060;0,031627242
7074;0,021041667
7088;0,02751633
7102;0,030052482
7116;0,013695652
7130;0,031036158
7144;0,05725
7158;0,032
7172;0,031500785
7186;0,030384615
7200;0,043642786
7214;0,048339029
7228;0,038947368
7242;0,027087809
7256;0,023910714
7270;0,02375
7284;0,028690537
7298;0,029824817
7312;0,03092385
7326;0,031041667
7340;0,034354128
7354;0,040681818
7368;0,027627226
7382;0,0244
7396;0,02
7410;0,026779173
7424;0,042307692
7438;0,051373626
7452;0,077699176
7466;0,071071429
7480;0,050577381
7494;0,059083203
7508;0,057115385
7522;0,051938025
7536;0,044178421
7550;0,03252551
7564;0,061836735
7578;0,054188533
7592;0,084343434
7606;0,077662338
7620;0,123610828
7634;0,092261905
7648;0,068968254
7662;0,099702381
7676;0,09968254
7690;0,126291486
7704;0,093252938
7718;0,116513605
7732;0,028155612
7746;0,082329545
7760;0,085853432
7774;0,073071429
7788;0,151823748
7802;0,097193878
7816;0,085024119
7830;0,044829314
7844;0,043413729
7858;0,024285714
7872;0,036590909
7886;0,043798701
7900;0,050671769
7914;0,075634921
7928;0,127721088
7942;0,080793651
7956;0,065136054
7970;0,057312925
7984;0,092075893
7998;0,064330357
8012;0,077324617
8026;0,045064935
8040;0,046267161
8054;0,072545918
8068;0,057619048
8082;0,057225057
8096;0,025219955
8110;0,041977041
8124;0,034606576
8138;0,07015873
8152;0,144375
8166;0,048397959
8180;0,0585
8194;0,063
8208;0,050428571
8222;0,061607143
8236;0,056984127
8250;0,037131519
8264;0,01739105
8278;0,022141544
8292;0,030193577
8306;0,024214436
8320;0,032058824
8334;0,053907563
8348;0,093731826
8362;0,077249433
8376;0,026937575
8390;0,02757423
8404;0,025318185
8418;0,005232558
8432;0,005232558
8446;0,005232558
8460;0,005232558
8474;0,005232558
8488;0,005232558
8502;0,005625722
8516;0,005652174
8530;0,005652174
8544;0,005652174
8558;0,005652174
8572;0,005652174
8586;0,004953729
8600;0,003709677
8614;0,003709677
8628;0,003709677
8642;0,003709677
8656;0,003709677
8670;0,003709677
8684;0,004048084
8698;0,004184783
8712;0,004184783
8726;0,004184783
8740;0,004184783
8754;0,004184783
8768;0,003829512
8782;0,00172043
8796;0,00172043
8810;0,00172043
8824;0,00172043
8838;0,00172043
8852;0,00172043
8866;0,001891947
8880;0,002065217
8894;0,002065217
8908;0,002065217
8922;0,002065217
8936;0,002065217
8950;0,002065217
8964;0,005991591
8978;0,006290323
8992;0,006290323
9006;0,006290323
9020;0,006290323
9034;0,006290323
9048;0,004738863
9062;0,000860215
9076;0,000860215
9090;0,000860215
9104;0,000860215
9118;0,000860215
9132;0,000860215
9146;0,003128468
9160;0,004402174
9174;0,004402174
9188;0,004402174
9202;0,004402174
9216;0,004402174
9230;0,004184783
9244;0,001358696
9258;0,001358696
9272;0,001358696
9286;0,001358696
9300;0,001358696
9314;0,001358696
9328;0,00138587
9342;0,000978261
9356;0,000978261
9370;0,00078432
9384;0
9398;0
9412;0,000201166
9426;0,000888889
9440;0,000888889
9454;0,000888889
9468;0,000888889
9482;0,000888889
9496;0,000888889
9510;0,000378421
9524;0,000232558
9538;0,000232558
9552;0,000515386
9566;0,000612245
9580;0,000612245
9594;0,000463869
9608;0
9622;0
9636;0
9650;0
9664;0
9678;0
9692;0
