X;A-High;B-Low;MinL_IC;Max_L_IC;MinH_IC;MaxH_IC;Gagnon;Yelle;Perche;Labelle;Clo;Francis;Lili;Pasdefond
0;2,513641242;1,563507364;1;1,923455027;1,064826646;3,343994636;3,132102445;1,064826646;;3,343994636;;1,923455027;1,767067066;1
500;2,297010566;2,298662026;1,62037037;3,300824057;0,689655172;3,872538041;2,328838486;0,689655172;;3,872538041;1,62037037;1,97479165;3,300824057;
1000;2,771204767;2,326814426;0,912173952;4,051734502;1,498135874;4,487222352;2,328256075;1,498135874;;4,487222352;1,343349249;0,912173952;4,051734502;3
1500;3,599757374;2,237197685;0,5697447;3,510269407;1,098901099;7,358770983;2,341600039;1,098901099;;7,358770983;2,631578947;0,5697447;3,510269407;
2000;3,21089901;1,536924496;0,671433811;2,749546615;1,484962132;6,035760999;2,1119739;1,484962132;;6,035760999;1,526717557;0,671433811;2,749546615;1,2
2500;1,380422533;1,959496695;0,69711922;3,064968749;0,321027287;2,222903834;1,597336478;0,321027287;;2,222903834;2,116402116;0,69711922;3,064968749;
3000;1,371120367;1,937831757;0,507617325;4,264399358;1,213933545;1,598298129;1,301129426;1,598298129;;1,213933545;1,379310345;0,507617325;4,264399358;1,6
3500;1,729662555;1,245657664;0,652173913;2,315447421;0,932400932;2,234006011;2,234006011;0,932400932;;2,022580722;0,652173913;0,769351657;2,315447421;
4000;1,300593516;1,625247995;0,29296875;4,284427722;1,149425287;1,474537295;1,277817965;1,149425287;;1,474537295;1,123595506;0,29296875;4,284427722;0,8
4500;0,786810706;1,199783153;0,378795231;2,138303147;0,571428571;0,936217058;0,852786488;0,571428571;;0,936217058;1,082251082;0,378795231;2,138303147;
5000;1,714634328;1,207627418;0,221238938;2,256280201;1,234567901;1,986204046;1,986204046;1,234567901;;1,923131038;0,221238938;0,452990531;2,256280201;1,9
5500;0,674267328;0,900001522;0,24259651;1,4;0,505050505;0,937198733;0,580552747;0,505050505;;0,937198733;0,943396226;0,24259651;1,014013352;1,4
6000;0,670555793;1,19677098;0,278830838;3,2;0,495049505;0,851724258;0,664893617;0,495049505;;0,851724258;0,621118012;0,687135071;0,278830838;3,2
6500;0,984616892;0,59455915;0,5;0,76142132;0,738886491;1,280160583;0,738886491;0,934803601;;1,280160583;0,76142132;0,516456813;0,600358467;0,5
7000;0,837615087;0,60861365;0,2;0,905073382;0,330033003;1,03526409;1,03526409;0,330033003;1,006711409;0,978451845;0,871266268;0,458114951;0,905073382;0,2
7500;1,191886642;0,406836237;0,247524752;0,566147721;0,741839763;1,675977654;1,675977654;0,741839763;1,132260346;1,217468806;0,247524752;;0,566147721;
8000;1,73705115;0,659955078;0,313873938;1,006036217;0,952380952;3,055555556;3,055555556;1,234567901;1,705700189;0,952380952;1,006036217;;0,313873938;
8500;2,942635544;;;;0,121065375;5,193419151;5,193419151;0,121065375;4,343381593;2,112676056;;;;
9000;1,298248322;;;;0;2,668514412;0;0,07183908;2,452639796;2,668514412;;;;
9500;0,770636147;;;;0;1,987233116;0,324675325;;1,987233116;0;;;;
