X;A-High;B-Low;MinL_IC;Max_L_IC;MinH_IC;MaxH_IC;Gagnon;Yelle;Perche;Labelle;Clo;Francis;Lili;Pasdefond
0;28,4087045;17,59529554;16,5;19,75770394;27,99952293;28,99377688;27,99952293;28,2328137;;28,99377688;;19,75770394;16,52818268;16,5
500;25,2954113;29,90382742;22,2118655;44,67592593;20,65337214;28,16389623;20,65337214;27,06896552;;28,16389623;44,67592593;22,82369082;22,2118655;
1000;30,20449255;28,64795518;19,08904888;40,76028158;26,94626428;33,35818271;33,35818271;30,30903065;;26,94626428;40,76028158;28,04249024;19,08904888;26,7
1500;27,82150767;25,5384135;18,9246844;32,76795548;22,02037661;39,01098901;22,4331574;39,01098901;;22,02037661;24,92260062;32,76795548;18,9246844;
2000;27,77671176;28,80598278;21,58720395;33,15657449;23,30611758;30,12644036;30,12644036;29,89757734;;23,30611758;29,58015267;33,15657449;21,58720395;30,9
2500;28,18394488;31,69360695;23,2979744;40,38800705;26,25951329;30,97913323;26,25951329;30,97913323;;27,31318811;40,38800705;31,3948394;23,2979744;
3000;26,21348337;33,7277448;20,44553441;44,59770115;22,34177859;33,01074394;22,34177859;23,28792758;;33,01074394;44,59770115;35,06774362;20,44553441;34,8
3500;28,99837565;34,93956472;25,27093022;52,39130435;22,44314828;38,46153846;26,09044021;38,46153846;;22,44314828;52,39130435;27,1564596;25,27093022;
4000;29,63972699;31,49759241;20,73182684;45,9;24,5210728;35,57337986;35,57337986;24,5210728;;28,82472831;34,97191011;20,73182684;24,38663269;45,9
4500;27,76354647;29,5856302;20,46734252;44,80519481;22,05640044;39,13900088;39,13900088;22,0952381;;22,05640044;44,80519481;20,46734252;23,48435328;
5000;17,74934613;22,69513433;13,84137544;30,53097345;11,35802469;21,02307565;20,86693806;11,35802469;;21,02307565;30,53097345;13,84137544;19,30818843;27,1
5500;15,48105951;19,00716224;10,60504841;28,93081761;7,744107744;21,04103472;21,04103472;7,744107744;;17,65803608;28,93081761;10,60504841;18,39278294;18,1
6000;9,905423207;18,27490754;11,0847384;25,5;8,661600322;12,14377821;12,14377821;8,910891089;;8,661600322;17,59834369;11,0847384;18,91654806;25,5
6500;15,30721533;23,41639187;16,37990223;35,7;13,2961094;18,53301683;18,53301683;13,2961094;;14,09251977;18,27411168;23,31155356;16,37990223;35,7
7000;16,85642363;23,51633479;13,20660687;32,6;7,509542177;23,48993289;18,43942077;17,98679868;23,48993289;7,509542177;27,48369517;20,7750371;13,20660687;32,6
7500;22,08455839;19,3437611;11,70732417;26,98019802;10,53832442;29,68890671;27,93296089;20,17804154;29,68890671;10,53832442;26,98019802;;11,70732417;
8000;30,75597023;21,35770858;14,14398858;28,57142857;28,55298143;32,6984127;30,55555556;31,21693122;28,55298143;32,6984127;28,57142857;;14,14398858;
8500;14,96896249;30,4281457;16,55629139;44,3;8,874724898;20,07042254;17,13721595;8,874724898;13,79348659;20,07042254;;;16,55629139;44,3
9000;12,00369889;;;;7,635450491;14,90742794;12,87128713;7,635450491;12,60062999;14,90742794;;;;
9500;15,14483974;;;;12,48267034;20,45454545;20,45454545;;12,48267034;12,49730342;;;;
