"Age","High","Low","MinL","MaxL","MinH","MaxH"
0,28.4087045,17.59529554,16.5,19.75770394,27.99952293,28.99377688
500,25.2954113,29.90382742,22.2118655,44.67592593,20.65337214,28.16389623
1000,30.20449255,28.64795518,19.08904888,40.76028158,26.94626428,33.35818271
1500,27.82150767,25.5384135,18.9246844,32.76795548,22.02037661,39.01098901
2000,27.77671176,28.80598278,21.58720395,33.15657449,23.30611758,30.12644036
2500,28.18394488,31.69360695,23.2979744,40.38800705,26.25951329,30.97913323
3000,26.21348337,33.7277448,20.44553441,44.59770115,22.34177859,33.01074394
3500,28.99837565,34.93956472,25.27093022,52.39130435,22.44314828,38.46153846
4000,29.63972699,31.49759241,20.73182684,45.9,24.5210728,35.57337986
4500,27.76354647,29.5856302,20.46734252,44.80519481,22.05640044,39.13900088
5000,17.74934613,22.69513433,13.84137544,30.53097345,11.35802469,21.02307565
5500,15.48105951,19.00716224,10.60504841,28.93081761,7.744107744,21.04103472
6000,9.905423207,18.27490754,11.0847384,25.5,8.661600322,12.14377821
6500,15.30721533,23.41639187,16.37990223,35.7,13.2961094,18.53301683
7000,16.85642363,23.51633479,13.20660687,32.6,7.509542177,23.48993289
7500,22.08455839,19.3437611,11.70732417,26.98019802,10.53832442,29.68890671
8000,30.75597023,21.35770858,14.14398858,28.57142857,28.55298143,32.6984127
8500,14.96896249,30.4281457,16.55629139,44.3,8.874724898,20.07042254
9000,12.00369889,NA,NA,NA,7.635450491,14.90742794
9500,15.14483974,NA,NA,NA,12.48267034,20.45454545
