depth	min.95	max.95	median	mean
0	-74	-70	-72	-72
0.5	-69	-56	-61	-61
1	-65	-40	-51	-51
1.5	-61	-24	-40	-40
2	-57	-9	-29	-29
2.5	-53	7	-18	-18
3	-49	23	-7	-7
3.5	-45	39	4	3
4	-41	55	14	14
4.5	-38	71	25	25
5	-34	87	36	36
5.5	-21	89	43	42
6	-14	102	49	48
6.5	-13	116	55	55
7	-5	131	60	61
7.5	-2	146	66	67
8	-2	162	71	74
8.5	-2	177	78	80
9	-1	192	84	86
9.5	-1	207	89	92
10	-1	223	96	99
10.5	4	225	99	102
11	4	227	103	106
11.5	6	228	106	109
12	9	230	109	112
12.5	11	232	113	116
13	12	234	116	119
13.5	13	237	120	123
14	13	239	124	126
14.5	14	242	127	130
15	15	245	131	133
15.5	28	246	142	144
16	40	247	154	155
16.5	54	249	167	166
17	69	250	180	177
17.5	84	251	192	188
18	99	252	203	199
18.5	114	254	214	210
19	128	259	226	221
19.5	142	269	238	232
20	157	285	246	244
20.5	183	304	267	263
21	209	330	285	283
21.5	231	359	300	302
22	253	391	317	322
22.5	263	424	333	342
23	272	459	354	361
23.5	281	495	374	381
24	285	532	394	400
24.5	290	570	413	420
25	296	608	431	440
25.5	307	619	440	449
26	320	630	448	458
26.5	324	641	456	467
27	325	652	464	476
27.5	332	666	474	485
28	338	680	483	495
28.5	342	695	492	504
29	345	707	501	513
29.5	348	719	511	522
30	352	729	520	531
30.5	355	739	533	543
31	357	750	548	554
31.5	361	760	560	566
32	366	774	571	577
32.5	373	784	581	589
33	376	796	592	601
33.5	380	813	602	612
34	382	830	612	624
34.5	384	847	622	635
35	386	867	632	647
35.5	399	870	640	655
36	411	873	650	663
36.5	424	878	660	671
37	437	883	672	679
37.5	449	891	681	687
38	461	899	690	695
38.5	471	907	698	703
39	481	916	706	711
39.5	489	927	715	719
40	500	940	723	727
40.5	523	950	730	737
41	546	959	739	747
41.5	570	969	746	758
42	595	977	752	768
42.5	607	987	760	778
43	620	996	768	789
43.5	629	1006	776	799
44	638	1015	785	809
44.5	645	1024	796	820
45	653	1034	812	830
45.5	673	1037	823	842
46	694	1041	839	855
46.5	713	1044	853	867
47	733	1049	867	880
47.5	749	1053	882	892
48	763	1062	896	904
48.5	775	1070	911	917
49	787	1077	925	929
49.5	801	1085	938	941
50	812	1096	952	954
50.5	834	1102	963	966
51	852	1111	974	979
51.5	871	1118	986	991
52	888	1128	997	1004
52.5	907	1138	1011	1017
