Age;High;Low;MinL;MaxL;MinH;MaxH
0;0.422158729;1.798626627;1.5;2.105175394;0;1.266476186
500;0.328975858;2.277778642;1.919229613;2.83077298;0.065616798;0.576483191
1000;0.669063443;2.628521104;0;4.565215995;0.097465887;1.674430323
1500;0.954308334;3.132929903;0;6.976314981;0.280684777;1.300188944
2000;1.067213248;3.159258117;0;5.244276564;0.290089169;1.717825994
2500;0.606419709;3.360419285;0;7.09614472;0.321027287;1.121283811
3000;0.838673414;7.461788042;0;14.31382767;0.297619048;1.857390363
3500;0.701076243;6.324185663;0;13.57826625;0.386934558;1.250093706
4000;3.9306775;13.40017964;2.668539326;19.90122368;1.5901451;8.045977011
4500;2.245823671;10.67274016;0.865800866;25.22400999;0.288271697;6.068246936
5000;0.907132838;11.67290294;0;34.12352879;0;2.434023099
5500;1.330677561;16.3488249;1.257861635;35.68666794;0;3.120782261
6000;1.313737141;6.030366267;3.105590062;9.658770573;0.284493875;2.227722772
6500;1.532037427;2.360708507;2.1;2.596677264;0.293914545;2.891114661
7000;0.787837768;2.423091064;0.375234522;2.816377559;0;1.97962316
7500;0.780037313;2.479664209;0.742574257;4.216754161;0;1.78041543
8000;0.915716786;3.159348267;0.402414487;5.916282046;0;2.181385662
8500;0.937383163;5.570198676;2.2;8.940397351;0.151057402;1.76056338
9000;4.948847715;NA;NA;NA;0.330033003;15.35587583
9500;5.90147929;NA;NA;NA;0.324675325;13.43166864
