depth	min.95	max.95	median	mean
0	-75	-73	-74	-74
0.5	-73	-71	-72	-72
1	-71	-69	-70	-70
1.5	-69	-66	-68	-68
2	-68	-64	-65	-66
2.5	-66	-62	-63	-63
3	-65	-59	-61	-61
3.5	-63	-57	-59	-59
4	-61	-54	-57	-57
4.5	-60	-52	-55	-55
5	-58	-49	-53	-53
5.5	-54	-46	-49	-49
6	-51	-42	-45	-46
6.5	-47	-38	-41	-42
7	-45	-33	-38	-38
7.5	-42	-28	-34	-34
8	-39	-23	-30	-30
8.5	-37	-18	-26	-27
9	-35	-13	-22	-23
9.5	-33	-8	-19	-19
10	-30	-3	-15	-15
10.5	-23	2	-9	-9
11	-18	9	-3	-3
11.5	-14	18	3	3
12	-11	28	9	9
12.5	-8	38	14	15
13	-6	49	20	20
13.5	-4	60	26	26
14	-2	70	32	32
14.5	0	81	38	38
15	2	92	44	44
15.5	14	101	55	55
16	22	116	66	66
16.5	29	136	76	77
17	33	158	87	89
17.5	37	182	97	100
18	40	207	108	111
18.5	43	232	119	122
19	46	260	129	133
19.5	48	288	139	144
20	51	315	150	155
20.5	81	343	188	193
21	99	386	225	231
21.5	107	451	261	269
22	115	532	291	307
22.5	122	618	317	345
23	132	704	342	384
23.5	137	795	363	422
24	142	884	389	460
24.5	151	971	417	498
25	157	1059	448	536
25.5	197	1069	495	573
26	231	1090	550	610
26.5	246	1108	606	647
27	258	1130	669	684
27.5	270	1158	730	721
28	281	1190	780	758
28.5	293	1224	818	795
29	305	1256	864	832
29.5	317	1305	903	869
30	329	1353	933	906
30.5	407	1359	964	933
31	473	1366	996	961
31.5	518	1371	1028	989
32	548	1378	1054	1016
32.5	564	1388	1083	1044
33	580	1396	1109	1071
33.5	594	1407	1137	1099
34	609	1421	1165	1126
34.5	624	1441	1192	1154
35	641	1470	1220	1181
35.5	734	1475	1248	1214
36	826	1480	1276	1247
36.5	919	1484	1306	1280
37	1010	1487	1335	1312
37.5	1104	1492	1361	1345
38	1195	1499	1387	1378
38.5	1281	1508	1412	1411
39	1356	1517	1442	1443
39.5	1398	1550	1477	1476
40	1417	1625	1508	1509
40.5	1443	1642	1537	1537
41	1459	1680	1564	1565
41.5	1469	1736	1588	1593
42	1477	1799	1613	1621
42.5	1484	1864	1637	1649
43	1491	1927	1659	1677
43.5	1498	1995	1683	1705
44	1504	2068	1705	1733
44.5	1511	2136	1727	1760
45	1517	2201	1748	1788
45.5	1538	2244	1771	1815
46	1554	2287	1801	1841
46.5	1565	2320	1831	1868
47	1575	2352	1862	1894
47.5	1584	2394	1891	1921
48	1594	2443	1917	1947
48.5	1605	2504	1943	1974
49	1614	2552	1964	2000
49.5	1622	2610	1988	2027
50	1630	2676	2011	2053
50.5	1668	2716	2047	2089
51	1695	2753	2088	2125
51.5	1716	2790	2132	2161
52	1728	2837	2179	2198
52.5	1744	2886	2220	2234
53	1761	2928	2255	2270
53.5	1774	2981	2287	2306
