labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
Pb-01,	0.5,	0.020649498,	2136.92,	161.53,	0.5,	2.97,	18.19,	2024.19
Pb-02,	1.5,	0.019492606,	1851.22,	141.77,	0.5,	8.61,	17.01,	0
Pb-03,	2.5,	0.017600678,	1422.83,	120.85,	0.5,	16.75,	16.34,	2
Pb-04,	3.5,	0.026830324,	1222.59,	90.09,	0.5,	9.47,	10.35,	
Pb-05,	4.5,	0.018652725,	1047.33,	107.19,	0.5,	5.59,	16.6,	
Pb-06,	5.5,	0.028168756,	1078.91,	80.12,	0.5,	16.45,	9.65,	
Pb-07,	6.5,	0.031012948,	1069.85,	97.78,	0.5,	4.46,	14.46,	
Pb-08,	7.5,	0.029941028,	798.41,	80.2,	0.5,	11.99,	12.99,	
Pb-09,	8.5,	0.030534587,	643.38,	60.94,	0.5,	7.07,	9.42,	
Pb-10,	9.5,	0.034409259,	554.86,	60.29,	0.5,	5.31,	10.09,	
Pb-11,	10.5,	0.032331263,	431.91,	50.92,	0.5,	7.15,	9.41,	
Pb-12,	12.5,	0.030877627,	259.69,	51.02,	0.5,	15.35,	10.68,	
Pb-13,	14.5,	0.033056906,	100.1,	38.33,	0.5,	9.94,	8.88,	
Pb-14,	16.5,	0.033745361,	60.39,	35.73,	0.5,	17.55,	8.58,	
Pb-15,	18.5,	0.038271271,	31.76,	42.39,	0.5,	18.21,	10.09,	
Pb-16,	20.5,	0.046728651,	19.69,	29.56,	0.5,	25.25,	7.27,	
