depth	min.95	max.95	median	mean
0	-74	-70	-72	-72
0.5	-72	-44	-63	-61
1	-71	-16	-54	-51
1.5	-70	13	-45	-40
2	-69	41	-36	-29
2.5	-69	69	-26	-18
3	-68	96	-17	-7
3.5	-67	124	-8	3
4	-67	152	2	14
4.5	-66	180	11	25
5	-65	208	20	36
5.5	-60	213	34	47
6	-55	218	48	58
6.5	-51	226	64	69
7	-48	231	82	81
7.5	-46	243	100	92
8	-43	259	114	103
8.5	-41	269	126	114
9	-38	290	136	125
9.5	-36	307	146	136
10	-33	329	155	148
10.5	-12	338	167	159
11	-3	345	178	170
11.5	6	354	190	182
12	14	360	200	193
12.5	20	370	212	204
13	26	380	225	215
13.5	31	390	235	227
14	36	402	247	238
14.5	40	415	260	249
15	43	433	271	261
15.5	75	435	280	273
16	102	438	290	285
16.5	127	440	300	297
17	149	443	310	309
17.5	169	445	320	321
18	189	450	334	333
18.5	207	454	349	345
19	224	459	370	357
19.5	233	463	386	369
20	240	473	399	381
20.5	272	477	417	399
21	301	483	438	416
21.5	326	491	458	434
22	339	516	473	451
22.5	348	553	485	469
23	353	591	496	487
23.5	358	631	506	504
24	362	672	519	522
24.5	366	716	535	539
25	370	757	549	557
25.5	403	768	567	578
26	433	792	586	599
26.5	466	819	605	619
27	485	849	626	640
27.5	496	886	649	661
28	502	927	670	682
28.5	508	966	693	702
29	516	1004	715	723
29.5	520	1042	738	744
30	525	1082	760	765
30.5	537	1109	785	790
31	544	1137	807	815
31.5	554	1165	837	840
32	562	1199	865	865
32.5	570	1224	895	890
33	584	1253	925	915
33.5	596	1285	955	941
34	608	1314	983	966
34.5	619	1346	1012	991
35	626	1381	1041	1016
35.5	671	1387	1059	1037
36	710	1397	1079	1058
36.5	744	1408	1097	1079
37	765	1420	1114	1100
37.5	779	1432	1131	1121
38	800	1445	1150	1143
38.5	811	1459	1170	1164
39	822	1477	1192	1185
39.5	836	1498	1214	1206
40	852	1526	1235	1227
40.5	876	1537	1254	1246
41	907	1545	1271	1264
41.5	944	1557	1291	1283
42	979	1569	1311	1302
42.5	999	1582	1330	1320
43	1019	1599	1347	1339
43.5	1040	1616	1366	1358
44	1062	1634	1388	1376
44.5	1084	1657	1407	1395
45	1105	1682	1424	1414
45.5	1129	1690	1438	1428
46	1152	1697	1451	1442
46.5	1175	1704	1465	1456
47	1198	1709	1478	1470
47.5	1220	1715	1491	1484
48	1241	1723	1505	1498
48.5	1266	1730	1520	1512
49	1283	1736	1535	1527
49.5	1299	1747	1548	1541
50	1315	1757	1564	1555
50.5	1349	1760	1576	1568
51	1380	1763	1588	1582
51.5	1408	1766	1601	1596
52	1432	1771	1614	1610
52.5	1453	1776	1628	1623
53	1471	1781	1642	1637
53.5	1487	1787	1657	1651
54	1503	1795	1673	1664
54.5	1515	1802	1688	1678
55	1526	1813	1704	1692
55.5	1559	1817	1714	1705
56	1592	1821	1725	1718
56.5	1624	1825	1734	1731
57	1657	1830	1744	1745
57.5	1689	1836	1755	1758
58	1718	1843	1767	1771
58.5	1741	1854	1781	1784
59	1750	1866	1794	1798
59.5	1754	1885	1808	1811
60	1757	1911	1821	1824
60.5	1764	1918	1828	1831
61	1769	1930	1835	1839
61.5	1773	1941	1842	1846
62	1776	1952	1850	1853
62.5	1779	1966	1857	1861
63	1782	1983	1864	1868
63.5	1784	2006	1870	1875
64	1786	2029	1877	1883
64.5	1788	2054	1883	1890
65	1790	2077	1890	1897
65.5	1795	2083	1896	1905
66	1800	2090	1904	1912
66.5	1805	2095	1911	1919
67	1811	2105	1918	1926
67.5	1815	2115	1925	1933
68	1818	2128	1931	1940
68.5	1820	2136	1938	1947
69	1823	2147	1944	1954
69.5	1826	2157	1951	1962
70	1826	2173	1956	1969
70.5	1834	2179	1963	1975
71	1840	2186	1968	1980
71.5	1847	2195	1975	1986
72	1853	2204	1981	1992
72.5	1857	2215	1986	1998
73	1860	2223	1993	2004
73.5	1863	2231	1998	2010
74	1866	2240	2005	2016
74.5	1869	2248	2011	2022
75	1871	2259	2018	2028
75.5	1880	2263	2025	2034
76	1886	2270	2032	2041
76.5	1893	2273	2038	2047
77	1898	2279	2044	2054
77.5	1903	2283	2051	2060
78	1908	2287	2057	2067
78.5	1910	2293	2063	2073
79	1913	2299	2071	2080
79.5	1917	2305	2077	2086
80	1920	2316	2084	2093
80.5	1924	2322	2091	2099
81	1932	2324	2096	2105
81.5	1936	2330	2102	2112
82	1940	2338	2109	2118
82.5	1944	2342	2116	2124
83	1949	2347	2123	2130
83.5	1953	2353	2130	2137
84	1957	2360	2136	2143
84.5	1960	2368	2142	2149
85	1963	2373	2149	2156
85.5	1972	2377	2155	2162
86	1979	2383	2162	2168
86.5	1986	2390	2168	2175
87	1989	2395	2175	2181
87.5	1991	2399	2182	2187
88	1997	2404	2189	2194
88.5	2002	2410	2196	2200
89	2005	2417	2202	2206
89.5	2010	2426	2208	2213
90	2012	2435	2215	2219
90.5	2020	2442	2222	2226
91	2028	2447	2230	2234
91.5	2038	2451	2238	2241
92	2046	2458	2247	2248
92.5	2052	2467	2255	2256
93	2055	2473	2264	2263
93.5	2059	2479	2272	2270
94	2065	2487	2279	2277
94.5	2070	2497	2287	2285
95	2073	2506	2296	2292
95.5	2080	2510	2302	2298
96	2087	2514	2308	2304
96.5	2093	2519	2313	2310
97	2101	2523	2318	2316
97.5	2106	2530	2324	2322
98	2113	2536	2329	2328
98.5	2119	2541	2335	2334
99	2125	2549	2341	2340
99.5	2130	2556	2347	2346
100	2136	2564	2355	2352
100.5	2143	2567	2363	2360
101	2150	2570	2371	2367
101.5	2157	2574	2378	2375
102	2161	2579	2387	2383
102.5	2167	2584	2395	2390
103	2171	2588	2404	2398
103.5	2176	2594	2414	2405
104	2181	2601	2422	2413
104.5	2186	2606	2432	2420
105	2189	2613	2441	2428
105.5	2200	2617	2446	2434
106	2207	2623	2452	2441
106.5	2216	2628	2457	2448
107	2221	2634	2463	2454
107.5	2227	2640	2469	2461
108	2234	2646	2475	2467
108.5	2240	2655	2482	2474
109	2248	2665	2489	2480
109.5	2250	2674	2496	2487
110	2259	2682	2501	2493
110.5	2263	2686	2507	2499
111	2271	2692	2513	2506
111.5	2275	2697	2519	2512
112	2281	2703	2526	2518
112.5	2285	2708	2532	2525
113	2289	2715	2539	2531
113.5	2292	2721	2546	2537
114	2296	2726	2552	2543
114.5	2299	2733	2558	2550
115	2303	2739	2565	2556
115.5	2313	2742	2570	2562
116	2325	2745	2576	2568
116.5	2335	2748	2582	2574
117	2348	2754	2588	2579
117.5	2354	2758	2594	2585
118	2357	2762	2600	2591
118.5	2365	2769	2605	2597
119	2368	2776	2612	2603
119.5	2371	2782	2618	2609
120	2376	2790	2624	2615
120.5	2394	2794	2631	2622
121	2410	2798	2638	2630
121.5	2421	2802	2645	2637
