"Age","High","Low","MinL","MaxL","MinH","MaxH"
0,20.08550276,17.25781998,13.17175022,20.00170973,14.14114049,28.34128142
500,21.5116998,8.436561431,6.018518519,11.29502179,19.05095454,26.34621384
1000,17.79647773,9.308064745,7.90682746,10.40596343,11.72969255,25.11520875
1500,15.46090051,7.769259795,5.128127135,9.287925697,11.5415345,17.94871795
2000,13.89465869,9.317345377,5.550741745,15.45801527,7.951905335,18.47714773
2500,15.16598459,7.685692467,6.555521806,8.818342152,9.612165913,19.42215088
3000,15.22792739,8.689703027,3.803604819,15,12.90064103,17.9421603
3500,17.1683304,5.052212823,4.561760251,5.812269521,9.557109557,27.00770396
4000,13.79521879,4.573380934,2.808988764,6.334473369,11.30268199,15.79805033
4500,17.6164554,8.198419193,4.909350085,13.84175165,13.9047619,22.87356089
5000,18.12787251,7.787996622,4.968142451,10.11039271,14.30598319,24.76899235
5500,18.26040038,6.142354421,4.716981132,9.6,13.13131313,25.68047445
6000,15.47108487,7.744934025,4.347826087,10.4,6.683168317,20.92850667
6500,23.16105601,10.01418915,2.538071066,15.40269584,10.04469987,36.22741939
7000,28.88278054,18.48142262,8.549986599,27.36578365,19.79865772,34.62720974
7500,26.69733427,18.47594308,3.96039604,32.99149012,18.10089021,36.07578974
8000,23.61505685,23.58017917,9.255533199,37.90482515,10.40564374,34.44444444
8500,36.2604545,22.68741722,11.6,33.77483444,23.35062982,52.44042874
9000,36.35734649,NA,NA,NA,29.64979212,42.4063102
9500,36.17005518,NA,NA,NA,30.48080035,42.53246753
