Castor;Gagnon;Labelle;Desperiers;Perche
93;117;-41;6700;6570
318;495;-5;6840;6836
438;603;67;6960;7060
513;711;379;7000;7144
978;1062;463;7060;7228
1023;1197;631;7320;7466
1098;1332;799;7380;7620
1308;1386;919;7700;7690
1353;1602;967;7920;7718
1413;1872;1027;8060;7788
1698;1926;1171;8120;7928
1743;2088;1207;8240;7984
1773;2277;1231;8400;8152
1893;2358;1315;8500;8362
2118;2466;1339;8560;8768
2283;2682;1807;9920;9034
2313;2817;1927;;9230
2373;2925;1951;;
2463;3060;2131;;
2568;3276;2275;;
2838;3384;2419;;
3018;3627;2479;;
3228;3897;2611;;
3273;4113;2647;;
3348;4329;2899;;
3468;4410;2995;;
3603;4626;3019;;
3648;5058;3055;;
3693;5139;3175;;
3753;5220;3271;;
3963;5301;3307;;
4143;5382;3391;;
4488;5598;3475;;
4533;5652;3727;;
4638;5814;3775;;
4773;6165;4063;;
4923;6300;4111;;
4998;6354;4303;;
5163;6462;4555;;
5238;6516;4603;;
5388;6678;4699;;
5418;6786;4795;;
5448;7083;4843;;
5478;7191;4939;;
5733;7299;5035;;
5868;7461;5203;;
6018;7569;5323;;
6168;7812;5431;;
6243;7893;5671;;
6363;8244;5887;;
6438;8406;5983;;
6543;8703;6391;;
6603;8892;6631;;
7008;9432;7351;;
7578;;7675;;
7728;;8347;;
7818;;8755;;
7848;;8827;;
8058;;9163;;
8088;;9391;;
8328;;9523;;
8538;;9607;;
8808;;9715;;
9033;;9967;;
9363;;10075;;
;;10099;;
;;10351;;
