Lili;Pasdefond;Francis;Clo
1000;49;150;-16
1140;121;700;71
1280;361;825;651
1364;745;875;970
1532;1009;1125;1724
1896;1225;1375;1927
2092;1369;1600;2449
2372;1537;1725;2652
2568;1705;1800;3435
2652;1897;1875;4015
2932;1993;1975;5146
3100;2233;2050;5465
3212;2545;2175;5581
3268;3121;2300;5842
3352;3217;2450;6161
3408;3913;2675;6451
3632;4201;2725;6770
3800;4417;3050;7089
3856;4465;3200;7234
4164;6145;3625;7437
4444;6337;3775;7872
4640;6433;3925;8336
4892;6505;4250;
5144;;4450;
5396;;4750;
5620;;5100;
5732;;5400;
6068;;5725;
6236;;5975;
6376;;6125;
6544;;6375;
6628;;7000;
6824;;7100;
6992;;;
7384;;;
7608;;;
7916;;;
7972;;;
8168;;;
