"Age","Hilltops","Lowlands","MinL","MaxL","MinH","MaxH"
0,1.223393139,1.700549058,1.601349861,1.799748255,1.125610292,1.37113016
500,1.29176578,1.184923324,0.925925926,1.356930654,0.83432422,1.724137931
1000,1.452792868,2.009416145,1.451945186,2.794527069,0.781925134,2.644987572
1500,1.010812628,1.772113982,1.519980371,2.248373958,0.80983336,1.282051282
2000,1.231718772,1.331370228,0.954198473,1.664586564,1.007416483,1.34609454
2500,0.930425546,1.327938242,1.015212602,1.76366843,0.802568218,1.129829418
3000,0.815784283,1.788256106,1.290653833,2.528735632,0.576159951,1.058341325
3500,1.425123412,1.890146473,1.242413315,2.826086957,0.634821452,2.564102564
4000,1.508951825,1.433845603,1.126098187,1.685393258,1.149425287,1.751414833
4500,1.210989863,1.113324697,0.869730239,1.298701299,0.279935417,2.476190476
5000,0.904772154,1.454285286,0.92350171,1.991150442,0.858102101,0.987654321
5500,1.324683802,1.240470567,0.943396226,1.485481046,1.014914055,1.851851852
6000,1.015573043,1.806940321,1.6563147,1.916166329,0.742574257,1.459542231
6500,1.801538035,1.791408068,1.015228426,2.595771506,1.318515322,2.496651403
7000,2.745903571,1.859238057,1.538722118,2.070833391,1.740816285,3.691275168
7500,2.074234473,2.125298424,1.98019802,2.270398827,1.035650624,3.072625698
8000,2.435744761,2.471001974,1.722688052,3.219315895,1.388888889,4.761904762
8500,3.691186634,NA,NA,NA,2.890402486,4.546088927
9000,4.605839126,NA,NA,NA,2.826496674,8.580858086
9500,6.931787505,NA,NA,NA,2.711846962,11.36363636
