X;A-High;B-Low;MinL_IC;Max_L_IC;MinH_IC;MaxH_IC;Gagnon;Yelle;Perche;Labelle;Clo;Francis;Lili;Pasdefond
0;28,04099194;31,47097785;25,83078326;37,11117243;23,20827854;34,93718642;34,93718642;25,97751086;;23,20827854;;25,83078326;37,11117243;27,6
500;24,23164817;25,90496824;13,88888889;36,41770878;17,4137931;30,93213226;30,93213226;17,4137931;;24,34901914;13,88888889;27,40830704;36,41770878;
1000;23,6846839;24,42771257;15,44587908;40,8;21,26346313;27,25451455;27,25451455;21,26346313;;22,53607403;21,17190543;15,44587908;36,66535319;40,8
1500;19,84395239;23,30841213;10,83832822;36,17669146;12,82051282;26,82662855;26,82662855;12,82051282;;19,8847158;22,91021672;10,83832822;36,17669146;
2000;18,45030452;25,04387686;13,36951555;40,6;11,71256342;23,45635806;23,45635806;11,71256342;;20,18199208;23,47328244;13,36951555;38,2888326;40,6
2500;18,78269099;21,876522;12,95808908;37,15119472;13,48314607;23,061289;23,061289;13,48314607;;19,80363789;15,52028219;12,95808908;37,15119472;
3000;17,36997407;17,58839693;8,399288845;39,2;12,65214306;24,63369963;24,63369963;12,65214306;;14,82407952;10,57471264;8,399288845;33,79118931;39,2
3500;13,18544609;14,90006627;5;28,91735822;7,226107226;19,09924386;19,09924386;7,226107226;;13,23098718;5;10,78284059;28,91735822;
4000;12,6964916;14,97380208;7,865168539;26,64307127;10,42262898;15,98102208;15,98102208;11,68582375;;10,42262898;7,865168539;10,41316644;26,64307127;8,3
4500;11,15879415;11,52101096;6,657221047;19,68070361;7,238095238;15,0859423;15,0859423;7,238095238;;11,15234491;8,225108225;6,657221047;19,68070361;
5000;10,25004599;11,80978161;5,674524879;29,8;6,172839506;13,21875439;13,21875439;6,172839506;;11,35854407;7,079646018;5,674524879;22,67517394;29,8
5500;8,727767834;11,19208532;6,404826812;18,1;5,218855219;11,82137447;9,143073812;5,218855219;;11,82137447;9,433962264;6,404826812;17,73746687;18,1
6000;11,02193377;8,631433815;4,140786749;14,7;6,930693069;13,8430386;12,29206963;6,930693069;;13,8430386;4,140786749;9,459148495;12,2943662;14,7
6500;9,666927652;8,757876225;3,045685279;16,4765923;7,170435459;14,41001295;14,41001295;7,420334548;;7,170435459;3,045685279;6,751351097;16,4765923;7,9
7000;13,5518834;9,029602352;3,407449596;16,52642954;4,665064523;32,2147651;8,086779873;9,240924092;32,2147651;4,665064523;3,407449596;7,154927919;16,52642954;13,2
7500;11,07998253;7,977971478;1,485148515;14,47079444;8,264408794;17,08017197;9,776536313;9,198813056;17,08017197;8,264408794;1,485148515;;14,47079444;
8000;8,490234047;9,635006297;6,036217304;13,23379529;3,703703704;12,55881978;11,66666667;3,703703704;12,55881978;6,031746032;6,036217304;;13,23379529;
8500;13,46953317;9,923509934;7,947019868;11,9;4,225352113;20,69282251;11,99100223;16,96895582;20,69282251;4,225352113;;;7,947019868;11,9
9000;18,7832741;;;;13,0164791;25,87014632;18,81188119;13,0164791;25,87014632;17,4345898;;;;
9500;14,63409307;;;;6,493506494;19,82436975;6,493506494;;19,82436975;17,58440298;;;;
