"Age","Hilltops","Lowlands","MinL","MaxL","MinH","MaxH"
0,0.912996539,1.655422,0.642522208,2.5,0.804394118,1.020974236
500,0.268629307,0.663566808,0,1.388888889,0,0.49092107
1000,0.621391634,0.423464294,0.194628282,0.938132288,0.369028,0.966149388
1500,0.498933315,0.766328056,0.154798762,1.536763673,0.287356322,0.915750916
2000,0.428340616,1.060645767,0.445088395,2.1,0.290089169,0.5479945
2500,0.397459054,0.614396915,0.352733686,1.021124167,0.321027287,0.477399296
3000,0.539484593,0.932137138,0,2.151089722,0.142450142,0.998172854
3500,0.983424156,1.766052985,0.83900583,2.608695652,0.392374094,2.097902098
4000,1.224742337,2.331923372,0.795252971,3.8,0.73287341,1.600357432
4500,1.05437057,1.496848912,0.432900433,2.349112694,0.826841739,1.333333333
5000,1.438874118,1.353050837,0.442477876,2.695368432,0.697025648,2.469135802
5500,1.012002311,3.144495581,1.769953421,5.8,0.725480283,1.178451178
6000,1.318919126,5.099654636,3.726708075,8.334223816,0,2.97029703
6500,2.346140341,6.439966025,2.030456853,10.7,0.730686232,5.016820858
7000,2.656105161,5.885159216,3.348334752,7.459640328,0.33557047,5.775577558
7500,4.154522957,7.18139566,3.966751719,10.3960396,0.516693169,8.902077151
8000,5.77597956,7.704700503,5.349038836,10.06036217,0.317322123,11.11111111
8500,2.497683179,8.989072848,8.278145695,9.7,0.221483942,5.281690141
9000,1.342143318,NA,NA,NA,0.111111111,2.128603104
9500,2.096627245,NA,NA,NA,0.334448161,4.332056952
