X;A-High;B-Low;MinL_IC;Max_L_IC;MinH_IC;MaxH_IC;Gagnon;Yelle;Perche;Labelle;Clo;Francis;Lili
0;1,223393139;1,700549058;1,601349861;1,799748255;1,125610292;1,37113016;1,37113016;1,173438964;;1,125610292;;1,799748255;1,601349861
500;1,29176578;1,184923324;0,925925926;1,356930654;0,83432422;1,724137931;0,83432422;1,724137931;;1,316835188;0,925925926;1,271913392;1,356930654
1000;1,452792868;2,009416145;1,451945186;2,794527069;0,781925134;2,644987572;0,781925134;2,644987572;;0,931465898;2,794527069;1,781776181;1,451945186
1500;1,010812628;1,772113982;1,519980371;2,248373958;0,80983336;1,282051282;0,940553241;1,282051282;;0,80983336;1,547987616;2,248373958;1,519980371
2000;1,231718772;1,331370228;0,954198473;1,664586564;1,007416483;1,34609454;1,34609454;1,341645294;;1,007416483;0,954198473;1,375325646;1,664586564
2500;0,930425546;1,327938242;1,015212602;1,76366843;0,802568218;1,129829418;1,129829418;0,802568218;;0,858879002;1,76366843;1,204933695;1,015212602
3000;0,815784283;1,788256106;1,290653833;2,528735632;0,576159951;1,058341325;0,576159951;1,058341325;;0,812851574;2,528735632;1,290653833;1,545378854
3500;1,425123412;1,890146473;1,242413315;2,826086957;0,634821452;2,564102564;1,076446219;2,564102564;;0,634821452;2,826086957;1,601939148;1,242413315
4000;1,508951825;1,433845603;1,126098187;1,685393258;1,149425287;1,751414833;1,751414833;1,149425287;;1,626015356;1,685393258;1,490045363;1,126098187
4500;1,210989863;1,113324697;0,869730239;1,298701299;0,279935417;2,476190476;0,876843695;2,476190476;;0,279935417;1,298701299;0,869730239;1,171542552
5000;0,904772154;1,454285286;0,92350171;1,991150442;0,858102101;0,987654321;0,858102101;0,987654321;;0,86856004;1,991150442;0,92350171;1,448203707
5500;1,324683802;1,240470567;0,943396226;1,485481046;1,014914055;1,851851852;1,014914055;1,851851852;;1,107285498;0,943396226;1,292534429;1,485481046
6000;1,015573043;1,806940321;1,6563147;1,916166329;0,742574257;1,459542231;1,459542231;0,742574257;;0,844602642;1,6563147;1,916166329;1,848339935
6500;1,801538035;1,791408068;1,015228426;2,595771506;1,318515322;2,496651403;1,318515322;2,496651403;;1,58944738;1,015228426;2,595771506;1,763224273
7000;2,745903571;1,859238057;1,538722118;2,070833391;1,740816285;3,691275168;3,076275306;2,475247525;3,691275168;1,740816285;1,538722118;1,968158662;2,070833391
7500;2,074234473;2,125298424;1,98019802;2,270398827;1,035650624;3,072625698;3,072625698;2,077151335;2,111510234;1,035650624;1,98019802;;2,270398827
8000;2,435744761;2,471001974;1,722688052;3,219315895;1,388888889;4,761904762;1,388888889;1,587301587;2,004883806;4,761904762;3,219315895;;1,722688052
8500;3,691186634;;;;2,890402486;4,546088927;4,546088927;3,807128362;2,890402486;3,521126761;;;1,986754967
9000;4,605839126;;;;2,826496674;8,580858086;8,580858086;4,118176777;2,897824965;2,826496674;;;
9500;6,931787505;;;;2,711846962;11,36363636;11,36363636;;2,711846962;6,719879193;;;
