"Age","High","Low","MinL","MaxL","MinH","MaxH"
0,28.04099194,31.47097785,25.83078326,37.11117243,23.20827854,34.93718642
500,24.23164817,25.90496824,13.88888889,36.41770878,17.4137931,30.93213226
1000,23.6846839,24.42771257,15.44587908,40.8,21.26346313,27.25451455
1500,19.84395239,23.30841213,10.83832822,36.17669146,12.82051282,26.82662855
2000,18.45030452,25.04387686,13.36951555,40.6,11.71256342,23.45635806
2500,18.78269099,21.876522,12.95808908,37.15119472,13.48314607,23.061289
3000,17.36997407,17.58839693,8.399288845,39.2,12.65214306,24.63369963
3500,13.18544609,14.90006627,5,28.91735822,7.226107226,19.09924386
4000,12.6964916,14.97380208,7.865168539,26.64307127,10.42262898,15.98102208
4500,11.15879415,11.52101096,6.657221047,19.68070361,7.238095238,15.0859423
5000,10.25004599,11.80978161,5.674524879,29.8,6.172839506,13.21875439
5500,8.727767834,11.19208532,6.404826812,18.1,5.218855219,11.82137447
6000,11.02193377,8.631433815,4.140786749,14.7,6.930693069,13.8430386
6500,9.666927652,8.757876225,3.045685279,16.4765923,7.170435459,14.41001295
7000,13.5518834,9.029602352,3.407449596,16.52642954,4.665064523,32.2147651
7500,11.07998253,7.977971478,1.485148515,14.47079444,8.264408794,17.08017197
8000,8.490234047,9.635006297,6.036217304,13.23379529,3.703703704,12.55881978
8500,13.46953317,9.923509934,7.947019868,11.9,4.225352113,20.69282251
9000,18.7832741,NA,NA,NA,13.0164791,25.87014632
9500,14.63409307,NA,NA,NA,6.493506494,19.82436975
