X;A-High;B-Low;MinL_IC;Max_L_IC;MinH_IC;MaxH_IC;Gagnon;Yelle;Perche;Labelle;Clo;Francis;Lili;Pasdefond
0;0,422158729;1,798626627;1,5;2,105175394;0;1,266476186;0;0;;1,266476186;;2,105175394;1,790704487;1,5
500;0,328975858;2,277778642;1,919229613;2,83077298;0,065616798;0,576483191;0,065616798;0,344827586;;0,576483191;2,083333333;2,83077298;1,919229613;
1000;0,669063443;2,628521104;0;4,565215995;0,097465887;1,674430323;0,097465887;0,235294118;;1,674430323;0;4,565215995;1,448868419;4,5
1500;0,954308334;3,132929903;0;6,976314981;0,280684777;1,300188944;0,280684777;1,282051282;;1,300188944;0;6,976314981;2,422474727;
2000;1,067213248;3,159258117;0;5,244276564;0,290089169;1,717825994;0,290089169;1,717825994;;1,193724581;0;5,244276564;2,692755905;4,7
2500;0,606419709;3,360419285;0;7,09614472;0,321027287;1,121283811;0,376948028;0,321027287;;1,121283811;0;7,09614472;2,985113134;
3000;0,838673414;7,461788042;0;14,31382767;0,297619048;1,857390363;0,297619048;0,36101083;;1,857390363;0;14,31382767;3,833324496;11,7
3500;0,701076243;6,324185663;0;13,57826625;0,386934558;1,250093706;0,386934558;0,466200466;;1,250093706;0;13,57826625;5,39429074;
4000;3,9306775;13,40017964;2,668539326;19,90122368;1,5901451;8,045977011;1,5901451;8,045977011;;2,155910389;2,668539326;19,90122368;4,230955561;26,8
4500;2,245823671;10,67274016;0,865800866;25,22400999;0,288271697;6,068246936;0,288271697;0,380952381;;6,068246936;0,865800866;25,22400999;5,928409637;
5000;0,907132838;11,67290294;0;34,12352879;0;2,434023099;0,287375415;0;;2,434023099;0;34,12352879;7,968082979;4,6
5500;1,330677561;16,3488249;1,257861635;35,68666794;0;3,120782261;0,871250421;0;;3,120782261;1,257861635;35,68666794;8,250770015;20,2
6000;1,313737141;6,030366267;3,105590062;9,658770573;0,284493875;2,227722772;0,284493875;2,227722772;;1,428994776;3,105590062;9,658770573;3,557104431;7,8
6500;1,532037427;2,360708507;2,1;2,596677264;0,293914545;2,891114661;0,293914545;1,411083076;;2,891114661;2,284263959;2,461892806;2,596677264;2,1
7000;0,787837768;2,423091064;0,375234522;2,816377559;0;1,97962316;0;0,165016502;1,006711409;1,97962316;0,375234522;2,000752174;2,816377559;4,5
7500;0,780037313;2,479664209;0,742574257;4,216754161;0;1,78041543;0;1,78041543;1,176335129;0,163398693;0,742574257;;4,216754161;
8000;0,915716786;3,159348267;0,402414487;5,916282046;0;2,181385662;0;0,529100529;2,181385662;0,952380952;0,402414487;;5,916282046;
8500;0,937383163;5,570198676;2,2;8,940397351;0,151057402;1,76056338;0,151057402;0,168634064;1,669277807;1,76056338;;;8,940397351;2,2
9000;4,948847715;;;;0,330033003;15,35587583;0,330033003;0,432759467;3,676722558;15,35587583;;;;
9500;5,90147929;;;;0,324675325;13,43166864;0,324675325;;3,948093906;13,43166864;;;;
